,name,roaster,descriptor,price,weight,weight in g,weight in oz,location,roasternotes,blend_single,roastlevel,classification,flavornotes,extra
234,Organic Driftless,Kickapoo,"You know when all your favorite stars are cast in one movie? That’s this coffee. A blend of fan favorites, guaranteed to hold your attention.",14.5,12.0,340.1942774959533,12.0,"Viroqua, WI","Here's a coffee for people who know what they like and like what they know. Classic, reliable, tried-and-true–call it whatever you like, Driftless is just plain lovely. Created by selecting popular Central and South American coffees, choosing the lots that have been crowd-pleasers in years past, and roasting them to a medium, cozy depth to make sure that goodness stays sweet and balanced.",Blends,Medium Roast,Sweet & Smooth,A traditional base with hints of Milk Chocolate and Brown Sugar,"['Process', 'Washed', 'Sub Region', 'Concepcion Huista', 'Producer', 'CODECH Cooperative', 'Harvest Time', 'March 2017', 'Varietal', 'Caturra, Catuai, Pache Verde, Bourbon & Colombia Castillo', 'Elevation', '1750']"
235,Nightcap House Decaf,Joe,"Decaffeinated using the Swiss Water process, this relaxed, easy drinking blend comes from a collaboration between Fincas Mierisch and the Pulley Collective.",15.0,12.0,340.1942774959533,12.0,"New York, NY","We are especially proud of Nightcap, a decaffeinated offering made possible through our partnership with Fincas Mierisch and the Pulley Collective. This coffee has nuances of cocoa powder, honey and dried fruit. It is decaffeinated using the Swiss Water process.",Blends,Medium Roast,Chocolaty & Sweet,A classic expression of Nicaragua with hints of Milk Chocolate and Sweet Vanilla,"['Process', 'Washed', 'Sub Region', 'Matagalpa', 'Harvest Time', 'November-February', 'Varietal', 'Red Catuaí, Yellow Catuaí', 'Elevation', '900']"
236,Decaf Angel City,Groundwork,"Organic and water-processed, this blend is 99.7% caffeine-free but still delivers plenty of crisp acidity. A perfect choice for an evening pour-over.",15.95,12.0,340.1942774959533,12.0,"Los Angeles, CA","Just because it’s decaf doesn’t mean it has to be bland. This organic, water-processed blend has plenty of crisp acidity and aromatics throughout the cup. Guaranteed 99.7% caffeine-free, Decaf Angel City says, “Go ahead and grab the big cup.”",Blends,Light Roast,Balanced & Fruity,"Hints of Berry Fruit, Brown Sugar and Milk Chocolate","['Varietal', 'Arabica']"
237,Decaf Librarian's Blend,Intelligentsia,"Everything you could want from a high quality decaf. Smooth, chocolatey and nostalgic with just a touch of sparkle makes this your new go-to match any mood.",17.0,12.0,340.1942774959533,12.0,"Chicago, IL",A smooth chocolate base with a bit of lime sparkle makes this water processed coffee a steady and reassuring choice.,Blends,Medium Roast,Sweet & Smooth,A traditional base with hints of Citrus and Nut,"['Process', 'Washed', 'Varietal', 'Bourbon']"
238,Hunky Dory Decaf,Sightglass,"The name says it all. This blend goes with the flow—changing its tune a bit with the seasons, but remaining a fan favorite.",20.5,12.0,340.1942774959533,12.0,"San Francisco, CA","Hunky Dory is a faithful friend with something for everyone to love. Not finicky about any particular brew method, the extraordinary qualities of this coffee shine through in every cup. We carefully adjust the blend as the seasons change to maintain the balance that has made Hunky Dory a favorite go-to in our lineup.",Blends,Medium Roast,Sweet & Smooth,A traditional base with hints of Brown Sugar and Ripe Fruit,"['Process', 'Washed']"
239,Decaf Brazil,Atomic,"One very indulgent cup of coffee, that happens to lack caffeine. Chocolatey and rich, with decadent caramel sweetness. Very, very good.",14.0,12.0,340.1942774959533,12.0,"Salem, MA",A sweet cup of coffee layered with caramel and honey sweetness on top of chocolate. A medium roast coffee with rounded flavor and a short-medium finish.,Blends,Medium Roast,Sweet & Smooth,A traditional base with hints of Milk Chocolate and Brown Sugar,"['Process', 'Washed', 'Elevation', '800']"
240,Brazil Fazenda Primavera,Anodyne,"A versatile, easy-drinking coffee. Any way you brew it, we bet you'll enjoy its rich chocolatey notes and smooth finish.",16.45,16.0,453.59236999460444,16.0,"Milwaukee, WI","One of the main assets of the Fazenda Primavera is its commitment to responding to new agricultural research and new trends in consumer preference. For example, microlots are dried on raised beds, coffee is intercropped with shade trees, and coffee is evaulated constantly to find the best cup profiles.",Single Origins,Medium Roast,Funky & Fruity,none,"['Process', 'Natural/Dry Processed', 'Sub Region', 'Chapada De Minas', 'Producer', 'Ricardo Tavares', 'Harvest Time', 'September 2017', 'Varietal', 'Yellow Catuai', 'Elevation', '1000 - 1000']"
241,Karmadillo Dark Espresso Blend,Cuvee,"For those among us who live la vida mocha: here's your go-to. With incredible depth and chocolaty sweetness, this one packs a wallop you won't soon forget.",14.0,12.0,340.1942774959533,12.0,"Austin, TX","This Espresso is no joke. It packs a punch to feel as if you were brought back to life. The more developed roast profile was inspired by our founder's first trip to the Pacific North West, back in 2001. When combined with steamed milk, it tastes like you're drinking a mocha, without adding chocolate. This blend of Central and South American coffees is spiked with a little exotic flavor, from Sumatra and Ethiopia, to satisfy that wild streak in all of us.",Blends,Medium-Dark Roast,Roasty & Smoky,"Classic, nostalgic, comforting flavors","['Process', 'Washed, Natural/Dry Processed, Pulped Natural, Wet-hulled', 'Varietal', 'Yellow Bourbon, Yellow Catuai, Caturra, Pache, Crowned Garuda, Heirloom', 'Elevation', '1150']"
242,Burundi Karehe Single Origin Espresso,Temple,"Rich and luscious, full-bodied and chocolaty, sticky-sweet like cherry syrup. This one can take milk with the best of 'em, sure, but is plenty delicious all on its own.",17.5,12.0,340.1942774959533,12.0,"Sacramento, CA","This espresso offering comes to us from a Burundi cooperative composed of 508 farmers who are all members of the International Women in Coffee Association (IWCA.) The IWCA opened their Burundi chapter in 2011 and has empowered women in the area to develop skills and enhance their roles in Burundian society. This offering was washed and processed at the Karehe Washing Station, a facility that has historically produced award-winning coffees.",Single Origins,Medium-Dark Roast,Deep & Rich,none,"['Process', 'Washed', 'Sub Region', 'Ngozi Province', 'Producer', 'Karehe Washing Station', 'Varietal', 'Bourbon', 'Elevation', '1760']"
243,Decaf Chicago House Blend,Passion House,"Caffeine’s gone, but flavor’s still in the house. Everything that works in the caffeinated version—sweet, velvety perfection—is still at play here.",15.0,12.0,340.1942774959533,12.0,"Chicago, IL","Who says decaf coffee has to be flavorless? With notes of melon, caramel candy and dark chocolate, this coffee is roasted to a medium roast to retain the sweetness and complexity of the original coffees.",Blends,Medium Roast,Balanced & Fruity,"Hints of Nut, Milk Chocolate and Ripe Fruit","['Process', 'Pulped Natural', 'Sub Region', 'Minais Gerais', 'Harvest Time', 'September 2017', 'Varietal', 'Bourbon, Icatu', 'Elevation', '1100']"
244,Crazy Goat,Klatch,High on a hill with a lonely goatherd...sums up the tale behind this complex blend that keeps things balanced but isn’t afraid to get a little crazy.,14.5,12.0,340.1942774959533,12.0,"Rancho Cucamonga, CA","A full-bodied blend with a name dating back to the beginning of coffee when it was discovered by a goat herder named Kaldi. This is a robust blend with notes of dark chocolate, tobacco, and hints of spice in aroma and cup. Crazy Goat is perfect for those looking for a balanced but assertive cup.",Blends,Medium-Dark Roast,Comforting & Rich,Nostalgic with hints of Milk Chocolate and Spice,"['Process', 'Washed', 'Varietal', 'Various']"
245,Papua New Guinea,Groundwork,"This silky blend makes a better cup while building better lives. Sustainably grown, it gives back—so sip confidently.",15.95,12.0,340.1942774959533,12.0,"Los Angeles, CA","Wau Co-Op is part of the Monpi Sustainable Services organization. Formed in December 2008, Monpi Sustainable Services contributes to sustainable livelihoods by providing training on the best agricultural, environmental, social and healthcare practices in its coffee-growing communities. In this way, Monpi contributes to improving the quality of life for its coffee producers.",Single Origins,Medium Roast,Funky & Fruity,none,"['Process', 'Washed', 'Producer', 'Wau Co-Op', 'Varietal', 'Typica, Jamaica Blue Mountain']"
246,John Brown Signature Blend,PT's,"If John Brown was on a dating app, everyone would swipe right. This coffee features a deep chocolate aroma with a velvety body. Absolute keeper.",16.5,12.0,340.1942774959533,12.0,"Topeka, KS",This cup features a deep chocolate aroma and velvety body complimented by a juicy acidity. Dark chocolate is prominent in the cup with a syrupy black cherry sweetness and a pleasant finish of sweet tobacco.,Blends,Medium Roast,Sweet & Smooth,A traditional base with hints of Milk Chocolate and Ripe Fruit,"['Process', 'Washed, Natural/Dry Processed']"
247,Kenya Nyeri Kiruga AA,Atomic,"Earthy and full-bodied, brightened with notes of lemon and crisp green apple acidity. This is a smooth, well rounded coffee for the contemplative types.",16.5,12.0,340.1942774959533,12.0,"Salem, MA","A complex and very flavorful cup of coffee. This particular AA exhibits pronounced vegetal flavors layered with notes of lemon, green apple and hints of stonefruit. A very smooth cup with a full-body and rounded flavor profile.",Single Origins,Light Roast,Citrusy & Tart,"Acid forward with hints of Fresh Herb, Savoriness and Citrus","['Process', 'Washed', 'Sub Region', 'Othaya', 'Varietal', 'SL28 , SL34', 'Elevation', '1600 - 1800']"
248,Decaf Los Gigantes,Ritual,"Sugarcane processed for maximum sweetness, hold the calories. We're loving this as our afternoon cup - sweet and nutty, it reminds us of banana bread.",20.0,12.0,340.1942774959533,12.0,"San Francisco, CA","At the Descafecol plant in Manizales, the caﬀeine is removed, as though by magic, using naturally occurring Ethyl Acetate derived from sugar cane. You’ll ﬁnd Ethyl Acetate in green coﬀee as well as various fruits, and it is the most common ester in wine. The resulting coﬀee is intensely sweet and fruited both in aroma and ﬂavor.",Single Origins,Medium Roast,Syrupy & Smooth,none,"['Process', 'Washed', 'Sub Region', 'Gigante, Huila Department', 'Producer', 'Desarrollo Producer Group', 'Harvest Time', 'Summer 2017', 'Varietal', 'Caturra']"
249,Costa Rica Cerro La Cruz,Ruby,"Rich, smooth and hazelnutty, with soft red grape acidity. A super creamy mouthfeel gives this one a boosted coziness factor you'll love on a blustery morning.",18.0,12.0,340.1942774959533,12.0,"Nelsonville, WI","Cerro La Cruz is a new micro mill in the Tarrazú region and is owned by the Esquivel Bararantes family. We visited them in February 2017 as they were wrapping up their first season exclusively processing their own coffee and the results are outstanding. With their efficient setup, they are able to produce delightful limited releases that effectively capture the great quality potential of their coffee plants.",Single Origins,Light-Medium Roast,Chocolaty & Sweet,A classic expression of Costa Rica with hints of Milk Chocolate and Sweet Vanilla,"['Process', 'Washed', 'Sub Region', 'Tarrazu', 'Producer', 'Esquivel Bararantes', 'Harvest Time', 'Nov-March 2018', 'Varietal', 'Caturra, Red Catuai', 'Elevation', '1600 - 1900']"
250,Hambela Estate – Alaka,Blueprint,"With its jammy berry sweetness and smooth notes of milk chocolate, it's no wonder this one keeps winning awards.",21.5,12.0,340.1942774959533,12.0,"St. Louis, MO","The Hambela Estate at Alaka is the first collection station and estate started by coffee visionaries Aman and Tariku Adinew. Their company, METAD, now operates six collection stations and two estates. Hambela Estate has had a home at Blueprint Coffee for the last four harvests. In January, we won a Good Food Award with last year's harvest. This year, we find familiar fruity qualities in the coffee. Expect berry and chocolate notes to jump out of the cup.",Single Origins,Light-Medium Roast,Fruity & Crisp,"Packed with bold notes of Berry Fruit, Sweet Vanilla and Milk Chocolate","['Process', 'Natural/Dry Processed', 'Sub Region', 'Hambela, Guji', 'Producer', 'Adinew', 'Harvest Time', 'October 2017 – January 2018', 'Varietal', 'Heirloom', 'Elevation', '1900 - 2200']"
251,El Salvador,Cuvee,"Grown exclusively for Cuvée at the very top of a mountain, this coffee is cultivated and harvested with a love that shines in the cup. Also present: full body, earthy spices, notes of toasted nuts. (Formerly known as El Salvador Laguna Las Ranas.)",14.0,12.0,340.1942774959533,12.0,"Austin, TX","This lot of direct trade coffee from the San Francisco Estate is an ongoing project between Cuvée Coffee and Jose Antonio Salaverria to methodically and sustainably increase quality at the farm level. Using coffee grown on only the top of the mountain known as Cerro Las Ranas, this higher elevation creates a denser coffee bean, allowing for a more consistent roast and a broader range of flavors.",Single Origins,Light-Medium Roast,Bittersweet & Heavy,none,"['Process', 'Pulped Natural', 'Sub Region', 'Juayua', 'Producer', 'Jose Antonio Salaverria', 'Varietal', 'Bourbon & Pacas', 'Elevation', '1500 - 1750']"
252,Jackie Oh Decaf,DOMA,"Notes of milk chocolate and berry candy make this one as refined as its namesake. If you're looking for a beautiful, elegant cup that won't keep you up at night, meet Jackie!",16.2,12.0,340.1942774959533,12.0,"Post Falls, ID","Lemon aromas, flavors of dried fruit and spice, aftertastes of malt and chocolate, a balanced acidity, a silky body and a mild sweetness",Blends,Medium-Dark Roast,Comforting & Rich,Nostalgic with hints of Roastiness and Berry Fruit,"['Process', 'Washed', 'Sub Region', 'Chiapas', 'Varietal', 'Various']"
253,Cold Brew Blend,Irving Farm,"Smooth as silk when brewed slow like molasses, this cold brew blend is just as great hot - in fact, you'll get more berry juiciness out of a hot cup.",14.7,12.0,340.1942774959533,12.0,"New York, NY",Our House Cold Brew Blend was inspired by our Blackstrap Espresso. It is a dynamic and complex cold brew with smooth molasses tones.,Blends,Light-Medium Roast,Balanced & Fruity,"Hints of Milk Chocolate, Brown Sugar and Berry Fruit","['Process', 'Washed', 'Varietal', 'Blend']"
254,Decaf Highline,Irving Farm,"Rich and full-bodied, with an aroma like freshly hewn cedar - this is a classic, earthy, spicy, chocolaty smooth cup for any time of day.",16.0,12.0,340.1942774959533,12.0,"New York, NY",This blend is our organic decaf offering. Coffees that have been gently decaffeinated using the Swiss Water Process are roasted to a medium profile to showcase expressive sweet and aromatic notes.,Blends,Medium-Dark Roast,Sweet & Smooth,A traditional base with hints of Milk Chocolate and Spice,"['Process', 'Washed', 'Varietal', 'Blend']"
255,Fresh Crop Bright,Kuma,"Here’s the bright side. This is everything we love about Ethopian coffee, in a cup: citrus acidity and earthiness. Hello, optimism.",17.0,12.0,340.1942774959533,12.0,"Seattle, WA","Fresh Crop Bright is a blend of beautiful seasonally fresh Ethiopian coffees that highlight all the things we love about Ethiopian coffee such as citrus, tropical fruits, berries and floral notes.",Blends,Medium Roast,Balanced & Fruity,"Hints of Citrus, Tropical Fruit and Florals","['Process', 'Washed', 'Harvest Time', 'January 2017', 'Varietal', 'Heirloom', 'Elevation', '1800']"
256,Sugar Tooth,Metric,"Sweet, without the sugar. Treat, without the guilt. When your tooth craves anything but savory, reach for vibrant sweetness with a low-cal payoff.",15.5,12.0,340.1942774959533,12.0,"Chicago, IL","The flavor profile of Sweet Tooth aims to pack all of the juicy, vibrant sweetness available to us in our seasonal single origin menu into one engaging cup. We explore how the natural deep sweetness of coffees form Burundi can inform and support the light, bright, fruity high notes of our favorite Rwandan offering, bringing you a highly refreshing, complex brew that embodies the best of both worlds.",Blends,Light-Medium Roast,Balanced & Fruity,"Hints of Berry Fruit, Citrus and Milk Chocolate","['Process', 'Washed']"
257,Blue Thunder,Klatch,Coming in hot: A cup combining dark and smooth coffees for an explosive combination of smokey and sweet.,14.5,12.0,340.1942774959533,12.0,"Rancho Cucamonga, CA","A rich, full-bodied cup with smoky and sweet tones, resulting from a combination of our French Roast cut with a full city roast Sumatra Blue Lintong. The Blue Thunder is perfect for those who love a dark but flavorful cup!",Blends,Dark Roast,Roasty & Smoky,"Classic, nostalgic, comforting flavors","['Process', 'Washed', 'Varietal', 'Various']"
258,Papua New Guinea YUS,Caffe Vita,Conservation is king in this region focused on sustainable farming. This coffee grows side-by-side with endangered animals—but safe to say it tastes amazing.,19.0,12.0,340.1942774959533,12.0,"Seattle, WA","Caffe Vita has been working hand in hand with farmers to improve quality and bring this amazing coffee to market. Here, the land is ideally suited for cultivation with its altitude, rich organic soil, heirloom varietals and tropical climate. It’s an honor and privilege to roast this remarkable coffee and share in creating a better future for their families and the conservation of their land.",Single Origins,Medium Roast,Chocolaty & Sweet,A classic expression of Papua New Guinea with hints of Brown Sugar and Nut,"['Process', 'Washed', 'Sub Region', 'Huon Peninsula', 'Harvest Time', 'May-August', 'Varietal', 'Typica, Bourbon St Raymond', 'Elevation', '1200 - 1500']"
259,Carmela's,DOMA,"After breakfast, we try not to think about breakfast. So we want coffee not to remind us of it. Like one: smooth and balanced, and works no matter the hour.",15.25,12.0,340.1942774959533,12.0,"Post Falls, ID","Carmela's has aromas of brown sugar and almond, dark chocolate flavors, aftertastes of caramel, a mild acidity, smooth body and a balanced sweetness. This is the perfect coffee for anytime of day. We've been enjoying this blend as drip or with a French Press lately, but that's not to say it wouldn't make a killer espresso, because it does.",Blends,Medium Roast,Sweet & Smooth,A traditional base with hints of Brown Sugar and Milk Chocolate,"['Process', 'Washed, Natural/Dry Processed', 'Varietal', 'Brasil - Bourbon, Mundo Novo. Colombia - Caturra, Castillo, Typica. Guatemala - Pache, Caturra.']"
260,Carmela's,DOMA,"After breakfast, we try not to think about breakfast. So we want coffee not to remind us of it. Like one: smooth and balanced, and works no matter the hour.",15.25,12.0,340.1942774959533,12.0,"Post Falls, ID","Carmela's has aromas of brown sugar and almond, dark chocolate flavors, aftertastes of caramel, a mild acidity, smooth body and a balanced sweetness. This is the perfect coffee for anytime of day. We've been enjoying this blend as drip or with a French Press lately, but that's not to say it wouldn't make a killer espresso, because it does.",Blends,Medium Roast,Sweet & Smooth,A traditional base with hints of Brown Sugar and Milk Chocolate,"['Process', 'Washed, Natural/Dry Processed', 'Varietal', 'Brasil - Bourbon, Mundo Novo. Colombia - Caturra, Castillo, Typica. Guatemala - Pache, Caturra.']"
261,Burundi - Nkonge Natural,Airship,"With their drying equipment held hostage at customs and refusing to pay a bribe, they dried this coffee the natural way instead. The result: dark red fruit sweetness, tart acidity and a lingering, creamy mouthfeel.",14.0,8.0,226.79618499730222,8.0,"Bentonville, AR","Airship Coffee is proud to partner with the Long Miles Coffee Project in Burundi. Year after year, the team at Long Miles aids to produce amazing coffee out of Burundi, as well as some truly beautiful stories. This coffee is no different.",Single Origins,Light Roast,Fruity & Crisp,"Packed with bold notes of Berry Fruit, Brown Sugar and Ripe Fruit","['Process', 'Natural/Dry Processed', 'Producer', 'Long Miles Coffee Project', 'Varietal', 'Bourbon', 'Elevation', '1900 - 2100']"
262,La Bicicletta Organic Blend,DOMA,"Great coffee any time of day, and perfect with a dash of milk. Chocolate and fruit flavors are balanced with a mild acidity.",16.45,12.0,340.1942774959533,12.0,"Post Falls, ID","We created this blend a number of years ago to help support women’s cycling and it has been a big hit. 50 cents (not the music guy) from each bag sold goes to help fund cycling projects around the region. We think this is pretty great. The best part is that the coffee tastes fantastic. Great coffee any time of day, holds up nicely with a splash of cream. Malt, chocolate and fruit flavors, aftertastes of earth, a mild acidity and a mellow sweetness.",Blends,Medium-Dark Roast,Comforting & Rich,Nostalgic with hints of Tropical Fruit and Milk Chocolate,"['Varietal', 'Caturra, Timtim, Heirloom']"
263,Guatemala,DOMA,"This fully-washed coffee from the Huehuetenango region of Guatemala delivers on flavor. Chocolate, raisin, with a sweet toffee finish shine in this approachable coffee.",16.55,12.0,340.1942774959533,12.0,"Post Falls, ID","This fully-washed coffee is 100% Caturra. It comes from William Perez’s farm San Antonio Chaguite in the Agua Dulce region of Huehuetenango. Or, to put it another way, it’s fantastic. Put the water on, daylight's burnin’. Aromas of lime and chocolate, flavors of chocolate and raisin, toffee aftertastes, a balanced acidity, a smooth body and a delicate sweetness",Single Origins,Medium Roast,Chocolaty & Sweet,A classic expression of Guatemala with hints of Milk Chocolate and Brown Sugar,"['Process', 'Washed', 'Sub Region', 'Huehuetenango', 'Producer', 'William Perez', 'Varietal', 'Caturra', 'Elevation', '1800 - 2100']"
264,Flecha Roja Costa Rica,Intelligentsia,"Rich volcanic soil, high elevation, and generations of farming mastery yield an incredible cup of coffee. Creamy sweetness and fruit juiciness make this one a hands-down winner.",18.0,12.0,340.1942774959533,12.0,"Chicago, IL","Our old friend Roberto Mata started a new operation with his son Michael in 2017. In less than a year, they delivered some of the best lots we have tasted from Costa Rica this season. Canteloupe | Butterscotch | Lemon Meringue",Single Origins,Light-Medium Roast,Citrusy & Tart,"Acid forward with hints of Tropical Fruit, Brown Sugar and Sweet Vanilla","['Process', 'Washed', 'Sub Region', 'Dota, Tarrazu', 'Producer', 'Roberto & Michael Mata', 'Harvest Time', 'January - February 2018', 'Varietal', 'Caturra, Catuai']"
265,Cherry Picker,Boxcar,"Finding your blends too bland? This fresh pick will blow your mind. Clean and crisp, this carefully curated mix of Ethiopian single origins brings the fruit, and balances it with a clean white honey sweetness.",14.75,300.0,300.0,10.582188585,"Boulder, CO","Each summer we ""cherry pick"" two of the best coffees we have available to us and put them together to create a fruit forward, structured and sweet blend. This year's iteration combines Ethiopia Guji Highlands, which was one of the cleanest naturally processed coffees we saw all year, and our Ethiopia Uraga which has incredible structure and florality. The resulting blend has tons of sweetness reminiscent of stone fruits and honey lavender floral notes.",Blends,Medium Roast,Balanced & Fruity,"Hints of Ripe Fruit, Berry Fruit and Sweet Vanilla","['Process', 'Washed, Natural/Dry Processed', 'Sub Region', 'Guji', 'Harvest Time', 'December 2017-Febuary 2018', 'Varietal', 'Mixed Heirloom', 'Elevation', '1900']"
266,Ethiopia Sakaro,Kuma,"If you're craving some complexity, step right up! This beautifully balanced coffee plays with ripe fruit, bright citrus acidity and delicate bergamot notes to create one deeply rewarding cup.",19.0,12.0,340.1942774959533,12.0,"Seattle, WA","The Sakaro is a perfect example of what we look for in a Yirgacheffe coffee. Its backbone reminds us of a fine black tea. On top of that add fresh red currants, juicy, ripe raspberries and a squeeze of lime. Then intermix floral components such as the dried citrus zest of the bergamot fruit. This is a very bright, juicy, complex coffee that we are head over heels for. We hope you will be too.",Single Origins,Medium Roast,Citrusy & Tart,"Acid forward with hints of Berry Fruit, Tropical Fruit and Citrus","['Process', 'Washed', 'Sub Region', 'Gedeb, Yirgacheffe', 'Producer', 'Small Producers', 'Harvest Time', 'January 2018', 'Varietal', 'Heirloom', 'Elevation', '1900 - 2100']"
267,Kenya Gachatha OT-18,Onyx,"Right up front, we're getting big bold fruits like juicy grape and lemon - which mellow to a subtle floral sweetness that has us coming back for more.",22.5,12.0,340.1942774959533,12.0,"Fayetteville, AR","Over the last few years, you might have heard of or tasted the sweet fruit of the Gachatha Cooperative. This wet mill (factory) makes some of the best Kenyan coffee. This lot lives up to the hype and has a beautiful mix of delicate and bold flavors. White grape and tamarind are quite pronounced in the cup, while botanical sugar cane and soft peach carry throughout giving this coffee an intense upfront moment that relaxes with subtleness at the end.",Single Origins,Light-Medium Roast,Subtle & Delicate,"Complex with notes of Tropical Fruit, Sweet Vanilla and Tropical Fruit","['Process', 'Washed', 'Sub Region', 'Nyeri', 'Producer', 'Gachatha Cooperative', 'Varietal', 'SL-28, SL-34', 'Elevation', '2000 - 2050']"
268,Seawall Stroll Seasonal Espresso Blend,Ritual,"Floral and bright, with lovely citrus acidity, abundant stonefruit and lots of chocolaty undertones.",17.5,12.0,340.1942774959533,12.0,"San Francisco, CA","When the Port of San Francisco asked for our help in getting the word out about the vulnerability of the Embarcadero Seawall, we admit that we’d never heard of this key piece of infrastructure. As a proud San Francisco company, we’ve partnered with the Port and other iconic SF companies to bring you this seaworthy and eﬀervescent reason to get buzzed and celebrate the waterfront. Find out more at sfseawall.com.",Blends,Medium Roast,Syrupy & Smooth,none,"['Process', 'Washed, Honey', 'Harvest Time', 'Spring 2018', 'Varietal', 'Gathaithi: SL 28, Ruiru/ Abana Estate: Heirloom/ Hacienda Carmona: Typica, Bourbón/ El Angel: Villalobos, Caturra']"
269,"La Roca, Nicaragua",Ritual,"Beautifully balanced with bright lemony-lime acidity, rich red fruit and a silky finish.",17.0,12.0,340.1942774959533,12.0,"San Francisco, CA","The coﬀees are picked by hand on steep terrain located in some of the highest mountains in Nicaragua. Processing is done on the individual farms, with each producer responsible for the quality of their contribution. This particular oﬀering showcases the sweetness we love from Nicaraguan coﬀees, balanced with the shining acidity we love from high-grown, carefully processed cherries.",Single Origins,Light-Medium Roast,Citrusy & Tart,"Acid forward with hints of Tropical Fruit, Citrus and Sweet Vanilla","['Process', 'Washed', 'Sub Region', 'Nueva Segovia', 'Producer', 'The Dipilito Producers', 'Harvest Time', 'Spring 2018', 'Varietal', 'Maragogype, Caturra, Bourbón']"
270,"Miramar, Mexico",Revelator,"Sweet and bright, fruity and rich - this Oaxacan beauty is a study in balance.",18.0,12.0,340.1942774959533,12.0,"Birmingham, AL",A clean balanced cup paired with high sweetness and acidity.,Single Origins,Light-Medium Roast,Chocolaty & Sweet,A classic expression of Mexico with hints of Milk Chocolate and Berry Fruit,"['Process', 'Washed', 'Sub Region', 'Oaxaca', 'Varietal', 'Bourbon & Typica']"
271,10 Year Anniversary Blend,Madcap,"What does ten years of hard work, thoughtful sourcing, and incredible roasting talent taste like? Well, we're getting plenty of deep plum sweetness and bright grapefruit acidity.",20.0,12.0,340.1942774959533,12.0,"Grand Rapids, MI","A very deep and expansive cup filled to the brim with sweetness and pleasant acidity. This coffee has stone fruit, flowers, grapefruit, and currant to spare.",Blends,Light-Medium Roast,Balanced & Fruity,"Hints of Ripe Fruit, Citrus and Florals","['Process', 'Washed', 'Sub Region', 'Nyeri, Kenya; Guji, Ethiopia', 'Producer', 'Giakanja, Kenya; Tabe Burka, Ethiopia', 'Harvest Time', 'November 2017 - January 2018', 'Varietal', 'SL-28, SL-34, Heirloom', 'Elevation', '1750']"
272,Ethiopia Layo Teraga Washed,Augie's,"Bright and sweet with a dried apricot sweetness and notes of smooth vanilla. Its clean, crisp body delivers delicate tea-like astringency that lingers like a sweet perfume.",17.0,12.0,340.1942774959533,12.0,"Redlands, CA","This lot is from our very first trip to Ethiopia! Arriving a week after the country declared State Of Emergency status, the trip went very smoothly and we met nothing but friendly people. It seemed like every time we stepped out of a car, a woman was setting up an Ethiopian Coffee Ceremony for us. Everyone just made us feel so welcome.",Single Origins,Light Roast,Sweet & Tart,none,"['Process', 'Washed', 'Sub Region', 'Guji', 'Varietal', 'Heirloom', 'Elevation', '1800 - 2200']"
273,"Juan Domingo, Guatemala",Spyhouse,"Subtle and nuanced as a fine wine, with vibrant fruitiness softened by notes of chocolate and hazelnut. For the femme fatale in all of us.",17.0,10.0,283.4952312466278,10.0,"Minneapolis, MN","Juan Domingo starts with a vibrant fruitiness touched with a tannic foundation that reminds us of white grapes and ripe plums. This develops into a creamy sweetness marked by milk chocolate and hazelnut; ultimately ending in an aftertaste that reminds us of sparkling rosé. This coffee is a beautiful representation of the best Huehuetenango has to offer - approachable, yet sophisticated. It is the perfect cup to share with just about anyone in any setting.",Single Origins,Light-Medium Roast,Subtle & Delicate,"Complex with notes of Berry Fruit, Ripe Fruit and Nut","['Process', 'Washed', 'Sub Region', 'Concepción Huista, Huehuetenango', 'Producer', 'Juan Domingo', 'Varietal', 'Caturra, Pache Verde', 'Elevation', '1600 - 1700']"
274,"Guatemala, El Sendero, Renardo Ovalle",Sightglass,"As smooth and balanced as a blend, with all the character of a single origin. Rich and smooth, this coffee expertly balances chocolaty sweetness with bright, jammy fruit notes.",20.0,12.0,340.1942774959533,12.0,"San Francisco, CA","In 1958, Dr. Jorge Vides purchased land in a deep valley located in Huehuetenango. Today Dr. Vides’ daughter, Maria Elena Vides de Ovalle, and her son Renardo Ovalle, produce this beautiful coffee on small parcel called “El Sendero,” perched high in surrounding hills. This coffee showcases notes of marmalade, hibiscus, and sugar cane.",Single Origins,Medium Roast,Chocolaty & Sweet,A classic expression of Guatemala with hints of Brown Sugar and Citrus,"['Process', 'Washed', 'Sub Region', 'Huehuetenango', 'Producer', 'Renardo Ovalle', 'Varietal', 'Bourbon', 'Elevation', '1700 - 1900']"
275,Guatemala Lazaro Constanza,Elm,"We're loving this silky-smooth, well-balanced beauty. Bright lemony acidity up front is tamed by a round caramel sweetness, yielding a beautifully balanced, classic cup.",19.0,12.0,340.1942774959533,12.0,"Seattle, WA","This lovely coffee was grown (at 1900 meters!) and processed in Agua Dulce, Huehuetenango. The caturra and typica cherries are de-pulped and wet-fermented for about 36 hours, before being dried on patios. This coffee is silky and clean, with pointed citric acidity rounded out by classic caramel and cocoa sweetness. A beautiful, classic Guatemalan coffee.",Single Origins,Light-Medium Roast,Citrusy & Tart,"Acid forward with hints of Citrus, Milk Chocolate and Ripe Fruit","['Process', 'Washed', 'Sub Region', 'Huehuetenango', 'Producer', 'Lazaro Constanza', 'Harvest Time', 'Spring 2018', 'Varietal', 'Caturra, Typica', 'Elevation', 'null - 1900']"
